scope,asn,hege,nb_peers
11054,2914,0.17647058823529413,42
11054,3356,0.5,42
11054,174,0.08823529411764706,42
11054,6461,0.058823529411764705,42
1659,174,0.6176470588235294,42
1659,4637,0.17647058823529413,42
1659,3356,0.029411764705882353,42
1659,9505,0.029411764705882353,42
11676,701,0.5588235294117647,42
11676,1299,0.14705882352941177,42
11676,1239,0.38235294117647056,42
11676,174,0.08823529411764706,42
12679,9049,0.5588235294117647,42
12679,9002,0.2647058823529412,42
12679,1299,0.1323529411764706,42
12679,25227,0.08823529411764706,42
12679,202984,0.014705882352941176,42
12679,20473,0.04411764705882353,42
14576,9002,0.3235294117647059,42
14576,174,0.38235294117647056,42
14576,27257,0.23529411764705882,42
14576,3356,0.058823529411764705,42
14576,50673,0.14705882352941177,42
9749,6939,0.4411764705882353,42
9749,7545,0.29411764705882354,42
9749,9942,0.29411764705882354,42
9749,15412,0.029411764705882353,42
9749,4826,0.6176470588235294,42
11992,7018,1.0,42
11992,174,0.058823529411764705,42
11992,1299,0.19117647058823528,42
11992,3356,0.17647058823529413,42
3249,1299,1.0,42
3249,174,0.029411764705882353,42
2381,1299,0.17647058823529413,42
2381,3257,0.029411764705882353,42
2381,6939,0.6764705882352942,42
2381,-31,0.08823529411764706,42
7679,4766,0.4411764705882353,42
7679,174,0.16176470588235295,42
7679,6939,0.35294117647058826,42
7679,6453,0.058823529411764705,42
