scope,asn,hege,nb_peers
3215,5511,0.4296114081996435,29
3215,3257,0.08,29
3215,3356,0.0801556420233463,29
3215,1299,0.08,29
3215,174,0.08,29
11172,3491,0.3224444444444444,29
11172,6503,0.5324444444444444,29
11172,3356,0.17333333333333337,29
11172,3549,0.17333333333333337,29
11172,3257,0.04,29
11172,1299,0.5933333333333334,29
11172,174,0.02,29
13977,6461,0.2,29
13977,-31,0.04,29
13977,3356,0.04,29
13977,174,0.84,29
45820,6453,0.9975,29
45820,4755,0.7959999999999999,29
45820,3356,0.036000000000000004,29
45820,1299,0.18,29
45820,174,0.16,29
50710,174,0.42,29
50710,2914,0.04,29
50710,6762,0.007058823529411765,29
50710,49832,0.41294117647058826,29
50710,1299,0.4844117647058823,29
50710,39386,0.2703921568627451,29
50710,3356,0.24,29
50710,6939,0.03725490196078431,29
26615,1299,0.24,29
26615,6762,1.0,29
26615,174,0.04,29
26615,3356,0.2,29
26615,6939,0.04,29
13335,1273,0.04,29
13335,174,0.02761904761904762,29
13335,1299,0.254,29
13335,2914,0.04,29
13335,6939,0.004257703081232493,29
13335,3257,0.04,29
13335,3356,0.16,29
18101,2914,0.08,29
18101,15412,1.0,29
18101,1299,0.36,29
18101,-18,0.04,29
18101,174,0.04,29
855,1299,0.52,29
855,577,0.06,29
855,3356,0.22,29
855,6453,0.04,29
385,3356,1.0,29
385,6223,0.6639679973469303,29
385,209,0.3275828047921071,29
385,1299,0.08,29
385,3561,0.08,29
