scope,asn,hege,nb_peers
3215,174,0.05052083333333333,800
3215,5511,0.3850394483814267,800
3215,1299,0.17139982516137392,800
3215,3356,0.0481642237059309,800
11172,1299,0.5324456463444307,800
11172,6503,0.5465486881746345,800
11172,174,0.049127604166666665,800
11172,3491,0.2697516610649086,800
11172,3356,0.16465827884061104,800
11172,3549,0.1802802406461666,800
13977,174,0.747546823216466,800
13977,6461,0.29115251068376063,800
13977,3356,0.026342013888888887,800
385,174,0.014080743092691621,800
385,3356,1.0,800
385,6223,0.5896879409419247,800
385,209,0.437614274542093,800
385,3561,0.01353246754278884,800
385,1299,0.024811866034292505,800
855,1299,0.3691296360860564,800
855,3356,0.2852334850606909,800
855,3257,0.10059848086962057,800
18101,-18,0.009050245098039216,800
18101,15412,1.0,800
18101,1299,0.21199057589888182,800
18101,174,0.10989583333333333,800
45820,6453,1.0,800
45820,4755,0.8002207148405448,800
45820,174,0.04479166666666666,800
45820,1299,0.15723090277777776,800
45820,3356,0.05583333333333333,800
26615,6762,1.0,800
26615,174,0.03332202672735761,800
26615,1299,0.08927428662071887,800
26615,3356,0.15456164058208915,800
50710,174,0.3613566341777319,800
50710,39386,0.1870783940524853,800
50710,49832,0.41816155914137426,800
50710,1299,0.4914473979428985,800
50710,3356,0.27765129306018776,800
50710,6762,0.0008399714052287583,800
13335,1299,0.13761287068731923,800
13335,174,0.054970238095238086,800
13335,3356,0.08830557407257775,800
