scope,asn,hege,nb_peers
13335,3356,0.056862745098039215,120
13335,174,0.05468020541549953,120
13335,3257,0.003472222222222222,120
13335,1299,0.20381944444444444,120
13335,6939,0.026695526695526692,120
50710,3356,0.28854166666666664,120
50710,1299,0.542259837962963,120
50710,49832,0.38993468915343915,120
50710,39386,0.21799768518518517,120
50710,174,0.3527326388888889,120
45820,1299,0.1914351851851852,120
45820,6453,1.0,120
45820,4755,0.7174768518518518,120
45820,3356,0.10416666666666667,120
45820,174,0.005208333333333333,120
26615,6762,1.0,120
26615,3356,0.04656862745098039,120
26615,174,0.030637254901960786,120
26615,1299,0.06303261689291101,120
385,3356,1.0,120
385,6223,0.6415337679012861,120
385,174,0.041666666666666664,120
385,3561,0.005830362448009507,120
385,209,0.43500433825887996,120
385,1299,0.052083333333333336,120
855,3356,0.3167576058201058,120
855,1299,0.42925347222222227,120
855,3257,0.026475694444444437,120
18101,1299,0.1689102564102564,120
18101,15412,1.0,120
18101,-18,0.020833333333333332,120
18101,174,0.203125,120
13977,174,0.7644008190883191,120
13977,6461,0.2668350168350168,120
13977,3356,0.020833333333333332,120
13977,1299,0.057291666666666664,120
3215,174,0.08333333333333333,120
3215,5511,0.3576028450595925,120
3215,1299,0.18719494688486935,120
3215,3356,0.11149691358024692,120
11172,3491,0.26086182336182334,120
11172,6503,0.5196277006172839,120
11172,174,0.05075231481481481,120
11172,3356,0.1875,120
11172,3549,0.19270833333333334,120
11172,1299,0.5463445216049383,120
