scope,asn,hege,nb_peers
2553,3356,0.027500000000000004,100
2553,11096,1.0,100
2553,6939,0.8125,100
50,3356,0.0125,100
50,293,1.0,100
50,291,1.0,100
50,6939,0.65,100
2274,6939,1.0,100
2274,-31,0.025,100
1886,174,1.0,100
1886,3356,0.0375,100
1471,3356,1.0,100
1471,209,1.0,100
1471,174,0.0375,100
37,3356,0.5875,100
37,6223,0.625,100
37,209,0.45,100
37,2914,0.125,100
37,668,0.121875,100
37,6939,0.016666666666666666,100
89,3356,0.7125,100
89,6223,0.7375,100
89,209,0.3734375,100
89,668,0.2125,100
89,2914,0.125,100
1451,3356,1.0,100
1451,3561,0.575,100
1451,174,0.01875,100
1451,1299,0.0875,100
2675,6461,0.65,100
2675,15290,0.5125,100
2675,3356,0.075,100
2675,1299,0.1125,100
2015,12129,0.45138888888888895,100
2015,6939,0.6125,100
2015,1299,0.0125,100
