scope,asn,hege,nb_peers
23674,17557,0.53125,20
23674,6762,0.34375,20
23674,38193,0.1875,20
23674,1299,0.03125,20
23674,6939,0.5,20
23674,-31,0.03125,20
4538,6453,0.3194444444444444,20
4538,2914,0.0661764705882353,20
4538,174,0.1213235294117647,20
4538,6939,0.0625,20
4538,23911,0.0625,20
58065,1299,0.875,20
58065,3257,0.1875,20
37963,4134,1.0,20
37963,23724,0.3125,20
37963,4816,0.125,20
37963,45102,0.4375,20
37963,58461,0.125,20
37963,4837,0.0625,20
37963,4812,0.3125,20
37963,3257,0.125,20
37963,174,0.0625,20
19108,6461,0.25,20
19108,174,0.1875,20
19108,1299,0.375,20
24445,58453,1.0,20
24445,9808,1.0,20
24445,1299,0.125,20
24445,3356,0.0625,20
24445,2914,0.0625,20
24445,-31,0.0625,20
37342,3356,0.09375,20
37342,6939,0.28125,20
37342,37662,0.28125,20
37342,6453,0.03125,20
37342,37100,0.53125,20
37342,1299,0.0625,20
37342,-26,0.0625,20
17639,1299,0.125,20
17639,5511,0.125,20
17639,-31,0.175,20
17639,15412,0.11875,20
17639,9304,0.0125,20
131596,1299,0.125,20
131596,4637,1.0,20
131596,17709,1.0,20
131596,-26,0.0625,20
131596,-18,0.125,20
23470,3257,0.1875,20
23470,174,0.3125,20
23470,1299,0.1875,20
23470,7922,0.0625,20
