scope,asn,hege,nb_peers
9829,174,0.18531104368519913,1654
9829,9498,0.23746344197825317,1654
9829,1299,0.19431499830227997,1654
9829,6453,0.33810837920700665,1654
9829,45489,0.035377286391608274,1654
9829,4755,0.02696398272013944,1654
9829,3257,0.07498444657870305,1654
9829,3356,0.05068152603962094,1654
9829,-31,0.038640927440021094,1654
13188,9002,0.4511350059904377,1540
13188,35320,0.35655196136850076,1540
13188,6939,0.5630387623225218,1540
13188,174,0.20893760038984888,1540
24863,174,0.2625717951422599,1514
24863,9498,0.30367668452803315,1514
24863,8452,0.9453666803334815,1514
24863,15412,0.1931838998460737,1514
24863,1299,0.12873569368956572,1514
24863,5511,0.07139809284284077,1514
24863,3356,0.25893457413281024,1514
24863,3257,0.028908413429865568,1514
24863,-31,0.06891642670924686,1514
23969,4651,0.195225726912314,1613
23969,38040,0.808161025987482,1613
23969,3356,0.07781080400181802,1613
23969,-31,0.10246436540684888,1613
23969,6939,0.24607313065436753,1613
23969,-26,0.00954068179862138,1613
13999,174,0.5740461384063688,1560
13999,32098,0.6929277901402803,1560
13999,6461,0.19925904430405092,1560
13999,3257,0.21756698124439156,1560
13999,1299,0.02923151370852567,1560
13999,3356,0.022433902902652902,1560
45609,1299,0.003525300778485492,1570
45609,9498,1.0,1570
45609,174,0.008328243239025458,1570
45609,-31,0.24727683217660737,1570
45609,-18,0.0239461626006212,1570
9583,1299,0.28368384450332196,1577
9583,4809,0.06837865039567334,1577
9583,174,0.1495911342110867,1577
9583,7473,0.1305616172997408,1577
9583,6461,0.05594259811916186,1577
36352,1299,0.43016848921593587,1523
36352,174,0.42608978284048465,1523
36352,3257,0.17644949566546342,1523
36352,23352,0.06912492241450403,1523
36352,2914,0.00255030642281523,1523
24560,1299,0.03867864691543386,1588
24560,9498,0.9215047407288678,1588
24560,174,0.031046321224824647,1588
24560,-31,0.26611120287846796,1588
58224,6453,0.12513719853601193,1561
58224,6762,0.35416847378346145,1561
58224,29049,0.3917518020255988,1561
58224,1299,0.1206169121965715,1561
58224,5511,0.07786201104170974,1561
58224,49832,0.020700514018531863,1561
58224,39533,0.000135665524447138,1561
58224,47147,0.047972420792442245,1561
58224,174,0.013882549934381358,1561
58224,3356,0.06413931014167075,1561
58224,49666,0.003843879527956201,1561
58224,6939,0.003477311763941067,1561
