scope,asn,hege,nb_peers
11414,48220,0.5,2
11414,3356,1.0,2
11414,49675,0.5,2
4922,33915,0.5,2
4922,6830,0.5,2
4922,1299,1.0,2
4922,206238,0.5,2
4922,57866,0.5,2
27725,701,0.5,2
27725,5511,1.0,2
27725,11960,1.0,2
27725,56911,0.5,2
27725,174,0.5,2
14115,4844,0.5,2
14115,2914,1.0,2
14115,3741,1.0,2
14115,2856,0.5,2
14115,5400,0.5,2
21769,42303,0.5,2
21769,174,1.0,2
21769,35916,1.0,2
21769,6830,1.0,2
21769,8412,0.5,2
11313,30784,0.5,2
11313,12714,0.5,2
11313,22822,1.0,2
11313,19905,1.0,2
11313,17518,0.5,2
11313,18268,0.5,2
11313,-95,0.5,2
21559,14618,0.5,2
21559,3257,0.5,2
21559,34660,0.5,2
21559,-435,0.5,2
21559,6939,0.5,2
21559,23520,0.5,2
21559,14638,0.5,2
11403,395685,0.5,2
11403,13536,0.5,2
11403,2914,0.5,2
11403,3356,1.0,2
11403,1836,0.5,2
26163,15943,0.5,2
26163,174,0.5,2
26163,6461,0.5,2
26163,4739,0.5,2
26163,7545,0.5,2
26163,1299,0.5,2
14288,51896,0.5,2
14288,6677,0.5,2
14288,174,0.5,2
14288,20115,0.5,2
14288,3356,0.5,2
