scope,asn,hege,nb_peers
19108,6461,0.37450980392156863,48
19108,1299,0.2735294117647059,48
19108,174,0.2,48
23470,3257,0.325,48
23470,174,0.475,48
23470,7922,0.025,48
23470,1299,0.05,48
17639,15412,0.125,48
17639,6939,0.025,48
17639,-31,0.2,48
17639,174,0.0125,48
17639,1299,0.0125,48
24445,1299,0.35,48
24445,58453,1.0,48
24445,9808,1.0,48
24445,3356,0.275,48
37342,6939,0.3625,48
37342,37662,0.3875,48
37342,6830,0.025,48
37342,6453,0.2734375,48
37342,3356,0.1486111111111111,48
37342,37100,0.42361111111111105,48
37342,6762,0.06875,48
37342,-31,0.025,48
131596,9505,0.025,48
131596,17709,1.0,48
131596,4637,0.9,48
131596,1299,0.125,48
131596,3257,0.025,48
131596,6762,0.05,48
37963,4134,0.8575757575757577,48
37963,23724,0.19421805777068935,48
37963,4816,0.1625,48
37963,4812,0.22782651072124754,48
37963,45102,0.29655214424951265,48
37963,58461,0.16472222222222221,48
37963,4837,0.05075757575757576,48
37963,1299,0.1,48
37963,174,0.0125,48
37963,9002,0.025,48
58065,1299,0.7994318181818182,48
58065,3356,0.096875,48
58065,3257,0.125,48
58065,174,0.15,48
58065,6939,0.025,48
4538,6453,0.5545955882352941,48
4538,2914,0.0985294117647059,48
4538,174,0.125,48
4538,6939,0.025,48
4538,1299,0.075,48
4538,3356,0.125,48
4538,4637,0.025,48
23674,6939,0.3375,48
23674,17557,0.4625,48
23674,3356,0.15,48
23674,6762,0.1625,48
23674,38193,0.025,48
23674,1299,0.0125,48
23674,-31,0.1125,48
