scope,asn,hege,nb_peers
1998,3320,0.25,4
1998,3257,0.25,4
1998,57,1.0,4
1998,1403,0.25,4
1998,6461,0.25,4
1998,20473,0.25,4
1998,1299,0.5,4
1998,15557,0.25,4
19,2860,0.25,4
19,174,0.25,4
19,62,0.25,4
19,3356,0.75,4
19,58224,0.25,4
19,6453,0.25,4
19,6461,0.25,4
19,11741,0.25,4
19,20115,0.25,4
19,8402,0.25,4
1339,21479,0.25,4
1339,12389,0.25,4
1339,3257,0.5,4
1339,701,1.0,4
1339,7922,0.25,4
1339,3265,0.25,4
1339,286,0.25,4
1339,21334,0.25,4
1339,6830,0.25,4
1339,1273,0.25,4
1843,12389,0.25,4
1843,1273,0.25,4
1843,-1,0.5,4
1843,11427,0.25,4
1843,7843,0.5,4
1843,270,0.5,4
1843,3269,0.25,4
1843,6762,0.25,4
1843,11351,0.25,4
344,201776,0.25,4
344,12389,0.25,4
344,3356,1.0,4
344,6223,1.0,4
344,1267,0.25,4
344,239,0.25,4
344,549,0.25,4
344,6461,0.25,4
344,3209,0.25,4
344,1273,0.25,4
321,49909,0.25,4
321,5483,0.25,4
321,3320,0.25,4
321,3356,1.0,4
321,10834,0.25,4
321,12956,0.25,4
321,3561,0.5,4
321,13189,0.25,4
321,25466,0.25,4
321,8228,0.25,4
321,15557,0.25,4
321,174,0.25,4
321,209,0.25,4
122,6848,0.25,4
122,6830,0.25,4
122,701,0.25,4
122,57227,0.25,4
122,31133,0.25,4
122,8767,0.25,4
122,1299,0.25,4
122,3356,0.5,4
122,15987,0.25,4
122,8820,0.25,4
122,41692,0.25,4
1348,2860,0.25,4
1348,174,0.25,4
1348,7018,1.0,4
1348,6453,0.5,4
1348,7545,0.25,4
1348,6128,0.25,4
1348,20473,0.5,4
1348,3491,0.25,4
1252,9829,0.25,4
1252,4755,0.25,4
1252,6453,0.25,4
1252,3356,0.5,4
1252,197709,0.25,4
1252,-482,0.25,4
1252,6939,0.5,4
1252,34056,0.25,4
1252,-184,0.25,4
1252,204053,0.25,4
1252,201011,0.25,4
1942,15870,0.25,4
1942,-1533,0.25,4
1942,1299,0.25,4
1942,174,0.5,4
1942,2200,1.0,4
1942,12389,0.25,4
1942,3356,0.5,4
1942,13032,0.25,4
1942,12687,0.25,4
1942,20965,0.25,4
1942,31027,0.25,4
1942,28717,0.25,4
1942,3257,0.25,4
