scope,asn,hege,nb_peers
136958,4837,1.0,40
136958,17816,1.0,40
136958,3257,0.03125,40
136958,3356,0.34375,40
136958,1299,0.09375,40
9341,3356,0.703125,40
9341,3491,0.1171875,40
3223,2914,0.278125,40
3223,1299,0.3732638888888889,40
3223,3356,0.0625,40
9770,2914,0.1875,40
9770,3786,1.0,40
9770,3356,0.34375,40
9770,-31,0.09375,40
4795,9002,0.5932904411764706,40
4795,4761,0.78125,40
4795,6453,0.060237556561085974,40
4795,3356,0.03079044117647059,40
4795,1299,0.3125,40
4795,174,0.0625,40
42910,6762,0.09254807692307693,40
42910,9002,0.0625,40
42910,50673,0.03125,40
42910,174,0.3125,40
42910,9121,0.390625,40
42910,-26,0.09375,40
42910,1299,0.0625,40
38370,1299,0.1875,40
38370,58453,1.0,40
38370,9808,1.0,40
38370,-18,0.0625,40
38370,3356,0.0625,40
27775,6939,0.0625,40
27775,23520,0.25,40
27775,174,0.2996651785714286,40
27775,2914,0.6357886904761905,40
27775,6830,0.0625,40
27775,1299,0.1328125,40
17995,6461,0.21875,40
17995,7473,0.25,40
17995,137366,0.87109375,40
17995,1299,0.37119391025641024,40
17995,2914,0.140625,40
45069,1299,0.5625,40
45069,58453,1.0,40
45069,9808,1.0,40
45069,9394,1.0,40
45069,3356,0.09375,40
