scope,asn,hege,nb_peers
14576,9002,0.36,29
14576,174,0.32,29
14576,27257,0.24,29
14576,50673,0.04,29
14576,29470,0.04,29
14576,1273,0.04,29
12679,9049,0.56,29
12679,1299,0.12,29
12679,49434,0.12,29
12679,-18,0.08,29
12679,9002,0.32,29
12679,25227,0.04,29
12679,20485,0.04,29
7679,174,0.28,29
7679,6453,0.08,29
7679,6939,0.36,29
7679,4766,0.4,29
11992,1299,0.2,29
11992,7018,1.0,29
11992,3356,0.28,29
11992,174,0.08,29
3249,1299,0.96,29
3249,174,0.04,29
2381,6939,0.6798443579766537,29
2381,1299,0.2801556420233463,29
2381,-31,0.04,29
9749,4826,0.68,29
9749,6939,0.44,29
9749,7545,0.24,29
9749,9942,0.24,29
9749,15412,0.04,29
9749,-18,0.04,29
11054,3356,0.44,29
11054,2914,0.28,29
11054,6461,0.08,29
11054,174,0.04,29
11054,1299,0.08,29
1659,174,0.62,29
1659,1299,0.04,29
1659,9505,0.08,29
1659,38844,0.04,29
1659,7539,0.08,29
1659,3356,0.04,29
1659,4637,0.16,29
1659,6461,0.04,29
11676,701,0.68,29
11676,1239,0.28,29
11676,3257,0.04,29
11676,1299,0.12,29
11676,1273,0.12,29
11676,174,0.04,29
11676,3356,0.08,29
