scope,asn,hege,nb_peers
1471,6848,0.2,5
1471,6830,0.2,5
1471,3356,0.8,5
1471,209,1.0,5
1471,42473,0.2,5
1471,1299,0.2,5
1471,29605,0.2,5
1471,5511,0.2,5
1471,9198,0.2,5
1471,50482,0.2,5
1471,31133,0.2,5
1471,15318,0.2,5
1471,376,0.2,5
1471,3257,0.2,5
1886,3320,0.2,5
1886,174,1.0,5
1886,47583,0.2,5
1886,15440,0.2,5
1886,9002,0.2,5
1886,3356,0.2,5
1886,15085,0.2,5
1886,16086,0.2,5
1886,20115,0.2,5
1886,3257,0.2,5
1886,38229,0.2,5
1886,18001,0.2,5
2553,45896,0.2,5
2553,18403,0.2,5
2553,-125,0.2,5
2553,6939,0.8,5
2553,11096,1.0,5
2553,9145,0.2,5
2553,-31,0.2,5
2553,42610,0.2,5
2553,12389,0.2,5
2553,-2846,0.2,5
2553,15943,0.2,5
2553,-74,0.2,5
2553,29695,0.2,5
2553,1299,0.2,5
50,3320,0.2,5
50,-1,0.19961089494163425,5
50,293,0.8,5
50,291,0.8,5
50,40528,0.2,5
50,2914,0.2,5
50,-5,0.2,5
50,33915,0.2,5
50,6939,0.2,5
50,11404,0.2,5
50,-13,0.2,5
50,6134,0.2,5
50,174,0.2,5
2274,59414,0.2,5
2274,-60,0.2,5
2274,6939,1.0,5
2274,44395,0.2,5
2274,8932,0.2,5
2274,34779,0.2,5
2274,-64,0.2,5
2274,1850,0.2,5
2274,6677,0.2,5
2274,-18,0.2,5
2274,56030,0.2,5
2675,48481,0.2,5
2675,43966,0.2,5
2675,9002,0.2,5
2675,6461,0.2,5
2675,15290,0.2,5
2675,50316,0.2,5
2675,1299,0.4,5
2675,15401,0.2,5
2675,7922,0.2,5
2675,577,0.2,5
2675,29396,0.2,5
2675,3257,0.2,5
2015,24940,0.2,5
2015,6939,0.8,5
2015,-31,0.2,5
2015,39651,0.4,5
2015,1257,0.2,5
2015,-64,0.2,5
2015,132933,0.2,5
2015,9498,0.2,5
2015,-14,0.2,5
2015,12129,0.2,5
2015,3301,0.2,5
2015,1930,0.2,5
89,50287,0.2,5
89,3549,0.2,5
89,3356,1.0,5
89,6223,1.0,5
89,15038,0.2,5
89,209,0.6,5
89,3352,0.2,5
89,12956,0.2,5
89,50543,0.2,5
89,9002,0.2,5
89,35540,0.2,5
89,16276,0.2,5
37,3215,0.2,5
37,5511,0.2,5
37,3356,1.0,5
37,6223,1.0,5
37,209,0.8,5
37,5089,0.2,5
37,6830,0.2,5
37,8228,0.2,5
37,15557,0.2,5
37,174,0.2,5
37,60924,0.26666666666666666,5
37,6939,0.06666666666666667,5
37,57187,0.06666666666666667,5
37,15802,0.1,5
37,59605,0.1,5
37,2914,0.2,5
37,668,0.2,5
37,15502,0.2,5
37,1273,0.2,5
1451,23752,0.2,5
1451,6453,0.2,5
1451,3356,1.0,5
1451,3561,0.8,5
1451,27733,0.2,5
1451,27768,0.2,5
1451,12956,0.2,5
1451,264605,0.2,5
1451,64126,0.2,5
1451,23520,0.2,5
1451,1299,0.2,5
1451,1136,0.2,5
1451,6830,0.2,5
1451,1257,0.2,5
1451,3257,0.2,5
