scope,asn,hege,nb_peers
1378,35540,0.5,2
1378,16276,0.5,2
1378,-355,0.5,2
1378,6939,1.0,2
1378,8057,0.5,2
1378,8422,0.5,2
1378,-18,0.5,2
7564,15038,0.5,2
7564,46887,0.5,2
7564,3257,0.5,2
7564,4766,1.0,2
7564,16276,0.5,2
7564,174,0.5,2
6661,12083,0.5,2
6661,-1,0.5,2
6661,6939,0.5,2
6661,2856,0.5,2
6661,5400,0.5,2
6758,5607,0.5,2
6758,3356,0.5,2
6758,35244,0.5,2
6758,16097,0.5,2
6758,201011,0.5,2
6758,-359,0.5,2
7805,197269,0.5,2
7805,3320,0.5,2
7805,3257,1.0,2
7805,51815,0.5,2
7805,12552,0.5,2
7805,1299,0.5,2
7805,26554,0.5,2
103,6128,0.5,2
103,2381,0.5,2
103,25596,0.5,2
103,-1812,0.5,2
103,6939,0.5,2
8456,34779,0.5,2
8456,1299,1.0,2
8456,9121,1.0,2
8456,12735,1.0,2
8456,8517,1.0,2
8456,174,0.5,2
4454,20880,0.5,2
4454,3356,0.5,2
4454,7018,1.0,2
4454,8346,0.5,2
4454,174,0.5,2
4673,3209,0.5,2
4673,1273,0.5,2
4673,2914,0.5,2
4673,6830,0.5,2
4673,2497,0.5,2
4673,397046,0.5,2
4673,6939,0.5,2
4673,-30,0.5,2
4673,7527,0.5,2
225,3215,0.5,2
225,3356,1.0,2
225,6730,0.5,2
