scope,asn,hege,nb_peers
89,3356,0.775,50
89,6223,0.775,50
89,209,0.35,50
89,668,0.05,50
89,2914,0.025,50
37,3356,0.6,50
37,6223,0.65,50
37,209,0.425,50
37,2914,0.15,50
37,668,0.125,50
37,6939,0.008333333333333333,50
1451,3356,1.0,50
1451,3561,0.55,50
1451,209,0.05,50
1451,174,0.025,50
2015,6939,0.65,50
2015,12129,0.325,50
2015,174,0.05,50
2675,6461,0.5472222222222223,50
2675,15290,0.44722222222222224,50
2553,6939,0.775,50
2553,11096,1.0,50
2553,1299,0.02,50
2553,3356,0.005,50
2274,6939,1.0,50
50,293,1.0,50
50,291,1.0,50
50,6939,0.775,50
1886,174,1.0,50
1886,3356,0.075,50
1886,1299,0.025,50
1471,3356,1.0,50
1471,209,1.0,50
1471,12389,0.05,50
1471,174,0.05,50
1471,1299,0.025,50
