scope,asn,hege,nb_peers
9583,2914,0.07142857142857142,16
9583,4809,0.21428571428571427,16
9583,7473,0.2777777777777778,16
9583,6461,0.07142857142857142,16
9583,1299,0.14285714285714285,16
9583,174,0.2857142857142857,16
45609,1299,0.1329059829059829,16
45609,9498,1.0,16
45609,3257,0.06810224089635855,16
45609,2914,0.007936507936507936,16
45609,-31,0.21428571428571427,16
45609,-1149,0.07142857142857142,16
45609,6939,0.06349206349206349,16
45609,-18,0.20634920634920634,16
45609,8003,0.07142857142857142,16
13999,6453,0.011904761904761904,16
13999,174,0.4166666666666667,16
13999,32098,0.8452380952380952,16
13999,3257,0.42857142857142855,16
13999,6461,0.14285714285714285,16
13999,1299,0.07142857142857142,16
36352,174,0.6216017316017316,16
36352,1299,0.5488612836438923,16
36352,18779,0.1486394557823129,16
36352,2914,0.08571428571428572,16
24863,1299,0.21016483516483517,16
24863,9498,0.3163265306122449,16
24863,1273,0.07142857142857142,16
24863,15412,0.2642857142857143,16
24863,8452,0.923109243697479,16
24863,3356,0.2089285714285714,16
24863,5511,0.07142857142857142,16
24863,174,0.35714285714285715,16
24863,-26,0.07142857142857142,16
24863,6939,0.03571428571428571,16
9829,9498,0.26820728291316526,16
9829,174,0.19642857142857142,16
9829,45489,0.21428571428571427,16
9829,3356,0.06722689075630252,16
9829,6453,0.2857142857142857,16
9829,4826,0.07142857142857142,16
9829,1299,0.2815126050420168,16
9829,-31,0.10924369747899158,16
9829,3257,0.07142857142857142,16
13188,6453,0.07142857142857142,16
13188,35320,0.25,16
13188,3356,0.10714285714285714,16
13188,9002,0.5357142857142857,16
13188,6939,0.44642857142857145,16
13188,174,0.25,16
23969,-31,0.373015873015873,16
23969,38040,0.7023809523809523,16
23969,-26,0.07142857142857142,16
23969,3356,0.007936507936507936,16
23969,6939,0.48214285714285715,16
23969,4651,0.38690476190476186,16
24560,-31,0.42857142857142855,16
24560,9498,0.854978354978355,16
24560,6453,0.07142857142857142,16
24560,6461,0.07142857142857142,16
24560,1299,0.14285714285714285,16
58224,3356,0.14285714285714285,16
58224,1299,0.14285714285714285,16
58224,6762,0.25,16
58224,5511,0.07142857142857142,16
58224,29049,0.25,16
58224,174,0.2285714285714286,16
58224,6453,0.15714285714285717,16
58224,8220,0.07142857142857142,16
58224,-31,0.21428571428571427,16
58224,49666,0.07142857142857142,16
58224,47147,0.25,16
