scope,asn,hege,nb_peers
9889,206557,0.2,5
9889,2116,0.2,5
9889,-83,0.2,5
9889,6939,0.6,5
9889,4826,0.8,5
9889,9790,0.8,5
9889,37002,0.2,5
9889,59908,0.2,5
9889,-63,0.2,5
9889,47583,0.2,5
9889,6461,0.2,5
9889,3257,0.2,5
9889,50994,0.2,5
9889,-264,0.2,5
7459,3215,0.2,5
7459,1299,1.0,5
7459,24955,0.2,5
7459,44096,0.2,5
7459,48166,0.2,5
7459,198668,0.2,5
7459,201654,0.2,5
7459,204064,0.2,5
7459,11232,0.2,5
8374,22773,0.2,5
8374,1299,0.6,5
8374,3356,0.2,5
8374,12741,0.4,5
8374,20845,0.2,5
8374,174,0.4,5
8374,5617,0.2,5
8374,47682,0.2,5
8374,31133,0.2,5
8374,-31,0.2,5
8374,8167,0.2,5
5237,201978,0.2,5
5237,15924,0.2,5
5237,1273,0.2,5
5237,3356,1.0,5
5237,17506,0.2,5
5237,2519,0.2,5
5237,1299,0.2,5
5237,6223,0.8,5
5237,719,0.2,5
5237,6667,0.2,5
5237,6057,0.2,5
5237,2914,0.2,5
5237,8359,0.2,5
11271,2860,0.2,5
11271,6453,0.2,5
11271,7738,0.6,5
11271,12874,0.2,5
11271,6762,0.2,5
11271,3303,0.2,5
11271,3257,0.4,5
11271,286,0.4,5
11271,2856,0.2,5
11271,5400,0.2,5
11271,47678,0.2,5
11271,35297,0.2,5
11271,1299,0.2,5
2506,3221,0.2,5
2506,20965,0.2,5
2506,2907,1.0,5
2506,56534,0.4,5
2506,31500,0.2,5
2506,9002,0.2,5
2506,-95,0.2,5
2506,3215,0.2,5
2506,2914,0.6,5
2506,701,0.2,5
2506,5089,0.2,5
2506,6830,0.2,5
2567,12874,0.2,5
2567,-26,0.4,5
2567,6461,0.8,5
2567,701,0.2,5
2567,22773,0.2,5
2567,62,0.2,5
2567,3265,0.2,5
2567,12312,0.2,5
2567,3257,0.2,5
13000,44050,0.2,5
13000,50509,0.2,5
13000,-31,0.2,5
13000,196844,0.2,5
13000,15744,0.2,5
13000,3320,0.2,5
13000,1299,0.6,5
13000,5617,0.6,5
13000,26370,0.2,5
13000,19518,0.2,5
13000,6939,0.2,5
13000,-482,0.2,5
13000,224,0.2,5
13000,2603,0.2,5
13000,32899,0.2,5
13000,12083,0.2,5
706,2860,0.2,5
706,6453,0.2,5
706,3356,1.0,5
706,2611,0.2,5
706,1299,0.6,5
706,13037,0.2,5
706,41690,0.2,5
706,29695,0.2,5
706,6223,0.2,5
706,209,0.2,5
10367,15557,0.2,5
10367,174,1.0,5
10367,12322,0.2,5
10367,33876,0.2,5
10367,8426,0.2,5
10367,6453,0.2,5
10367,60304,0.2,5
10367,50973,0.2,5
10367,1273,0.2,5
10367,3333,0.2,5
10367,-26,0.2,5
10367,1257,0.2,5
