scope,asn,hege,nb_peers
9341,3491,0.2,31
9341,3356,0.52,31
9341,6939,0.04,31
9341,-158,0.08,31
9341,38757,0.08,31
9341,174,0.12,31
136958,4837,1.0,31
136958,17816,1.0,31
136958,3356,0.4,31
136958,1299,0.08,31
38370,1299,0.32,31
38370,58453,1.0,31
38370,9808,1.0,31
38370,3356,0.16,31
42910,1299,0.12,31
42910,9121,0.28,31
42910,6762,0.04,31
42910,174,0.48,31
4795,1299,0.2733333333333334,31
4795,4761,0.88,31
4795,3356,0.08,31
4795,9002,0.58,31
4795,3491,0.08,31
9770,3356,0.32,31
9770,3786,1.0,31
9770,2914,0.36,31
3223,-31,0.02,31
3223,1299,0.48,31
3223,2914,0.08,31
17995,2914,0.15333333333333335,31
17995,137366,0.915,31
17995,1299,0.5733333333333333,31
17995,6461,0.04,31
17995,7473,0.08,31
27775,2914,0.5972,31
27775,23520,0.15,31
27775,1299,0.08,31
27775,174,0.1535,31
27775,6939,0.2,31
45069,3356,0.2,31
45069,58453,1.0,31
45069,9808,1.0,31
45069,9394,1.0,31
45069,1299,0.32,31
45069,-31,0.04,31
