scope,asn,hege,nb_peers
4538,1299,0.02144760647401105,501
4538,174,0.12505693050287447,501
4538,4637,0.0544207292226949,501
4538,6453,0.41570013960893487,501
4538,6939,0.061823382719671416,501
4538,2914,0.13556536010780018,501
4538,3356,0.028489297119192965,501
37963,4134,0.8707047656800563,500
37963,23724,0.11184267141014388,500
37963,4812,0.16673545375987558,500
37963,58461,0.2121971994593693,500
37963,45102,0.26355701561015776,500
37963,4816,0.12452357881136951,500
37963,4837,0.13117424242424242,500
37963,1299,0.11470687984496124,500
37963,174,0.015019379844961241,500
58065,1299,0.7646108284794416,513
58065,3356,0.1128345498783455,513
58065,3257,0.1299675587996756,513
23674,6762,0.16893564356435645,504
23674,-31,0.06683168316831684,504
23674,6939,0.39820544554455445,504
23674,17557,0.4777502750275028,504
23674,3356,0.050669772859638904,504
23674,38193,0.021864686468646862,504
23674,1299,0.0012376237623762376,504
17639,15412,0.11677187499999998,500
17639,1299,0.12708333333333333,500
17639,-31,0.044500000000000005,500
17639,6939,0.04535,500
17639,174,0.059500000000000004,500
37342,3356,0.08916323731138547,505
37342,37100,0.380644718792867,505
37342,6939,0.3479881115683585,505
37342,37662,0.40332876085962505,505
37342,6453,0.20748824221046444,505
37342,6762,0.0012345679012345679,505
37342,-18,0.014814814814814815,505
24445,1299,0.2605411214166344,507
24445,58453,1.0,507
24445,9808,1.0,507
24445,3356,0.19129925894631775,507
131596,4637,0.8175182481751825,513
131596,17709,1.0,513
131596,1299,0.12773722627737227,513
131596,9505,0.08126520681265206,513
19108,1299,0.3221592488900887,512
19108,6461,0.3089859549416288,512
19108,174,0.20871889627987192,512
23470,7922,0.020947630922693267,501
23470,174,0.33409531726239955,501
23470,3257,0.3721945137157107,501
23470,1299,0.03117206982543641,501
