scope,asn,hege,nb_peers
4795,17465,0.5,2
4795,4755,0.5,2
4795,6453,0.5,2
4795,4761,0.5,2
4795,803,0.5,2
4795,-13,0.5,2
4795,9002,0.5,2
3223,12611,0.5,2
3223,60169,0.5,2
3223,-31,0.5,2
3223,44600,0.5,2
3223,9002,0.5,2
9770,20676,0.5,2
9770,3356,0.5,2
9770,3786,1.0,2
9770,2514,0.5,2
9770,6453,0.5,2
45069,8447,1.0,2
45069,1901,0.5,2
45069,3356,0.5,2
45069,58453,1.0,2
45069,9808,1.0,2
45069,9394,1.0,2
45069,55002,0.5,2
45069,11404,0.5,2
45069,1299,0.5,2
17995,29399,0.5,2
17995,12735,0.5,2
17995,9121,0.5,2
17995,1299,0.5,2
17995,137366,0.5,2
17995,34553,0.5,2
17995,6939,0.5,2
27775,26615,0.5,2
27775,-171,0.5,2
27775,6939,1.0,2
27775,23520,1.0,2
27775,57943,0.5,2
27775,31167,0.5,2
27775,-359,0.5,2
42910,35754,0.5,2
42910,49788,0.5,2
42910,174,0.5,2
42910,20626,0.5,2
42910,12552,0.5,2
42910,1299,0.5,2
42910,9121,0.5,2
38370,44084,0.5,2
38370,12779,0.5,2
38370,-18,0.5,2
38370,58453,1.0,2
38370,9808,1.0,2
38370,46375,0.5,2
38370,3257,0.5,2
136958,15943,0.5,2
136958,1299,0.5,2
136958,4837,1.0,2
136958,17816,1.0,2
136958,28859,0.5,2
136958,24889,0.5,2
136958,6730,0.5,2
136958,3356,0.5,2
9341,5505,0.5,2
9341,1299,0.5,2
9341,3356,1.0,2
9341,31124,0.5,2
9341,15547,0.5,2
