scope,asn,hege,nb_peers
89,3356,0.6176470588235294,42
89,6223,0.6176470588235294,42
89,209,0.3235294117647059,42
89,668,0.17647058823529413,42
89,2914,0.20588235294117646,42
37,3356,0.5,42
37,6223,0.5294117647058824,42
37,209,0.38235294117647056,42
37,668,0.14705882352941177,42
37,2914,0.14705882352941177,42
37,6939,0.06862745098039215,42
1451,1299,0.11764705882352941,42
1451,3356,1.0,42
1451,3561,0.5,42
1451,209,0.029411764705882353,42
1451,3257,0.029411764705882353,42
2675,-18,0.05555555555555555,42
2675,6461,0.673202614379085,42
2675,15290,0.5261437908496732,42
2675,1299,0.17647058823529413,42
2015,6939,0.6176470588235294,42
2015,12129,0.3235294117647059,42
2274,6939,1.0,42
2274,-31,0.058823529411764705,42
50,6939,0.761437908496732,42
50,293,1.0,42
50,291,0.9681372549019607,42
2553,3356,0.11764705882352941,42
2553,11096,1.0,42
2553,6939,0.7058823529411765,42
2553,1299,0.029411764705882353,42
1471,3356,1.0,42
1471,209,1.0,42
1471,174,0.11764705882352941,42
1471,1299,0.029411764705882353,42
1886,174,1.0,42
1886,3356,0.17647058823529413,42
