scope,asn,hege,nb_peers
23470,3257,0.46875,40
23470,174,0.34375,40
23470,6939,0.03125,40
23470,1299,0.03125,40
23674,6939,0.2421875,40
23674,17557,0.5217013888888888,40
23674,-31,0.1875,40
23674,3356,0.2803308823529412,40
23674,6762,0.15625,40
23674,38193,0.0625,40
4538,1299,0.046875,40
4538,6939,0.09375,40
4538,174,0.12109375,40
4538,6453,0.5536228835169319,40
4538,2914,0.0627422480620155,40
4538,23911,0.015625,40
4538,3356,0.03125,40
58065,1299,0.921875,40
58065,3356,0.03125,40
37963,4134,0.9951467803030303,40
37963,4812,0.1796875,40
37963,1299,0.1484375,40
37963,45102,0.09635416666666667,40
37963,174,0.03125,40
37963,4816,0.234375,40
37963,23724,0.2178030303030303,40
37963,58461,0.2421875,40
37963,3356,0.046875,40
37963,4837,0.032196969696969696,40
19108,174,0.18888888888888888,40
19108,6461,0.3354166666666667,40
19108,1299,0.3420138888888889,40
17639,15412,0.1240234375,40
17639,-31,0.0625,40
17639,6939,0.0625,40
17639,1299,0.1875,40
17639,-18,0.03125,40
37342,6762,0.06066176470588235,40
37342,6453,0.0859375,40
37342,37100,0.43125,40
37342,6939,0.40625,40
37342,37662,0.484375,40
37342,3356,0.03125,40
37342,-18,0.03125,40
131596,4637,0.828125,40
131596,17709,1.0,40
131596,-31,0.015625,40
131596,9505,0.09375,40
131596,1299,0.09375,40
24445,1299,0.171875,40
24445,58453,1.0,40
24445,9808,1.0,40
24445,-31,0.15625,40
24445,9002,0.0625,40
24445,3356,0.03125,40
