scope,asn,hege,nb_peers
19,20473,0.5,2
19,1299,0.5,2
19,3356,0.5,2
19,3320,0.5,2
19,3257,0.5,2
19,62,0.5,2
344,33915,0.5,2
344,6830,0.5,2
344,3356,1.0,2
344,6223,1.0,2
344,52336,0.5,2
344,6762,0.5,2
1339,20473,0.5,2
1339,1299,0.5,2
1339,701,1.0,2
1339,3243,0.5,2
1339,8657,0.5,2
1339,174,0.5,2
1843,12389,0.5,2
1843,1273,0.5,2
1843,-1,0.5,2
1843,44512,0.5,2
1843,6663,0.5,2
1843,2914,0.5,2
1843,270,0.5,2
1348,17931,0.5,2
1348,2497,0.5,2
1348,7018,1.0,2
1348,44494,0.5,2
1348,34177,0.5,2
1348,3356,0.5,2
1942,199524,0.5,2
1942,-35,0.5,2
1942,21320,0.5,2
1942,20965,0.5,2
1942,2200,1.0,2
1942,53356,0.5,2
1942,12212,0.5,2
1942,174,0.5,2
1252,3352,0.5,2
1252,12956,0.5,2
1252,3356,1.0,2
1252,9829,0.5,2
1252,4755,0.5,2
1252,6453,0.5,2
321,49909,0.5,2
321,5483,0.5,2
321,3320,0.5,2
321,3356,1.0,2
321,57571,0.5,2
321,42132,0.5,2
321,8905,0.5,2
321,20764,0.5,2
321,3561,0.5,2
122,35540,0.5,2
122,16276,0.5,2
122,3356,0.5,2
122,6848,0.5,2
122,6830,0.5,2
122,701,0.5,2
1998,48276,0.5,2
1998,1299,0.5,2
1998,57,1.0,2
1998,1136,0.5,2
1998,6830,0.5,2
1998,3257,0.5,2
